id;start_date;end_date;usd_rate;usd_rate_dif;nbu_usd_buy;nbu_usd_sell;modification_date;rub_rate;rub_rate_dif;eur_rate;eur_rate_dif;chf_rate;chf_rate_dif;nbu_euro_buy;nbu_euro_sell;title_seo;description_seo;title_seo_ru;description_seo_ru;title_seo_uz;description_seo_en;description_seo_uz;title_seo_en;date_update
1;2016-06-14;2016-06-20;2933.99;+4.85;2983.00;2992.00;2020-05-19;45.34;+1.53;3328.44;+23.29;3043.56;+45.16;3329.00;3378.00;;;;;;;;;0000-00-00
2;2016-06-07;2016-06-13;2929.14;+4.51;2978.00;2987.00;2020-05-19;43.81;-0.47;3305.15;-21.33;2998.40;+57.30;3306.00;3355.00;;;;;;;;;0000-00-00
3;2016-05-31;2016-06-06;2924.63;+5.28;2974.00;2983.00;2020-05-19;44.28;+0.30;3326.48;-7.92;2941.10;-10.72;3327.00;3376.00;;;;;;;;;0000-00-00
4;2016-05-24;2016-05-30;2919.35;+5.25;2968.00;2977.00;2020-05-19;43.98;-0.90;3334.40;-10.55;2951.82;-33.33;3335.00;3385.00;;;;;;;;;0000-00-00
5;2016-05-17;2016-05-23;2914.10;+4.85;2963.00;2972.00;2020-05-19;44.88;+0.93;3344.95;+3.19;2985.15;-11.30;3345.00;3395.00;;;;;;;;;0000-00-00
6;2016-05-11;2016-05-16;2909.25;+4.57;2958.00;2967.00;2020-05-19;43.95;-1.20;3341.76;+31.58;2996.45;-33.67;3342.00;3392.00;;;;;;;;;0000-00-00
7;2016-05-03;2016-05-10;2904.68;+5.43;2953.00;2962.00;2020-05-19;45.15;+1.37;3310.18;+12.38;3030.12;+60.79;3311.00;3360.00;;;;;;;;;0000-00-00
8;2016-04-26;2016-05-02;2899.25;+5.33;2948.00;2957.00;2020-05-19;43.78;-0.04;3297.80;+1.82;2969.33;-22.42;3298.00;3347.00;;;;;;;;;0000-00-00
9;2016-04-19;2016-04-25;2893.92;+5.53;2942.00;2951.00;2020-05-19;43.82;+1.01;3295.98;+9.45;2991.75;-41.00;3296.00;3345.00;;;;;;;;;0000-00-00
10;2016-04-12;2016-04-18;2888.39;+5.71;2937.00;2946.00;2020-05-19;42.81;-0.12;3286.53;+36.95;3032.75;+24.32;3287.00;3336.00;;;;;;;;;0000-00-00
11;2016-04-05;2016-04-11;2882.68;+5.96;2931.00;2940.00;2020-05-19;42.93;+0.89;3249.58;+24.85;3008.43;+64.59;3250.00;3298.00;;;;;;;;;0000-00-00
12;2016-03-29;2016-04-04;2876.72;+4.95;2925.00;2934.00;2020-05-19;42.04;+0.30;3224.73;+7.13;2943.84;-18.89;3225.00;3273.00;;;;;;;;;0000-00-00
13;2016-03-23;2016-03-28;2871.77;+5.02;2920.00;2929.00;2020-05-19;41.74;+0.97;3217.60;+49.06;2962.73;+47.00;3218.00;3266.00;;;;;;;;;0000-00-00
14;2016-03-15;2016-03-22;2866.75;+5.07;2915.00;2924.00;2020-05-19;40.77;+1.67;3168.54;+21.90;2915.73;+35.05;3169.00;3216.00;;;;;;;;;0000-00-00
15;2016-03-10;2016-03-14;2861.68;+5.04;2909.00;2918.00;2020-05-19;39.10;+1.06;3146.64;-64.78;2880.69;+15.45;3147.00;3194.00;;;;;;;;;0000-00-00
16;2016-03-01;2016-03-09;2856.64;+4.99;2904.00;2913.00;2020-05-19;38.04;+1.07;3211.42;+1.67;2865.24;-12.31;3212.00;3260.00;;;;;;;;;0000-00-00
17;2016-02-23;2016-02-29;2851.65;+5.02;2899.00;2908.00;2020-05-19;36.97;+1.16;3209.75;+0.74;2877.55;-29.55;3210.00;3258.00;;;;;;;;;0000-00-00
